"","date","etf","w","cluster"
"381",2019-07-25,"XLF US Equity",0.25,3
"382",2019-08-01,"XLF US Equity",0.25,3
"383",2019-08-08,"XLF US Equity",0.25,3
"384",2019-08-15,"XLF US Equity",0.25,3
"385",2019-08-22,"XLF US Equity",0.25,3
"386",2019-08-29,"XLF US Equity",0.25,3
"387",2019-09-05,"XLF US Equity",0.25,3
"388",2019-09-12,"XLF US Equity",0.25,3
"389",2019-09-19,"XLF US Equity",0.25,3
"390",2019-09-26,"XLF US Equity",0.25,3
"391",2019-10-03,"XLF US Equity",0.25,3
"392",2019-10-10,"XLF US Equity",0.25,3
"393",2019-10-17,"XLF US Equity",0.25,3
"394",2019-10-24,"XLF US Equity",0.25,3
"395",2019-10-31,"XLF US Equity",0.25,3
"396",2019-11-07,"XLF US Equity",0.25,3
"397",2019-01-03,"XLI US Equity",0.25,3
"398",2019-01-10,"XLI US Equity",0.25,3
"399",2019-01-17,"XLI US Equity",0.25,3
"400",2019-01-24,"XLI US Equity",0.25,3
"401",2019-01-31,"XLI US Equity",0.25,3
"402",2019-02-07,"XLI US Equity",0.25,3
"403",2019-02-14,"XLI US Equity",0.25,3
"404",2019-02-21,"XLI US Equity",0.25,3
"405",2019-02-28,"XLI US Equity",0.25,3
"406",2019-03-07,"XLI US Equity",0.25,3
"407",2019-03-14,"XLI US Equity",0.25,3
"408",2019-03-21,"XLI US Equity",0.25,3
"409",2019-03-28,"XLI US Equity",0.25,3
"410",2019-04-04,"XLI US Equity",0.25,3
"411",2019-04-11,"XLI US Equity",0.25,3
"412",2019-04-18,"XLI US Equity",0.25,3
"413",2019-04-25,"XLI US Equity",0.25,3
"414",2019-05-02,"XLI US Equity",0.25,3
"415",2019-05-09,"XLI US Equity",0.25,3
"416",2019-05-16,"XLI US Equity",0.25,3
"417",2019-05-23,"XLI US Equity",0.25,3
"418",2019-05-30,"XLI US Equity",0.25,3
"419",2019-06-06,"XLI US Equity",0.25,3
"420",2019-06-13,"XLI US Equity",0.25,3
"421",2019-06-20,"XLI US Equity",0.25,3
"422",2019-06-27,"XLI US Equity",0.25,3
"423",2019-07-11,"XLI US Equity",0.25,3
"424",2019-07-18,"XLI US Equity",0.25,3
"425",2019-07-25,"XLI US Equity",0.25,3
"426",2019-08-01,"XLI US Equity",0.25,3
"427",2019-08-08,"XLI US Equity",0.25,3
"428",2019-08-15,"XLI US Equity",0.25,3
"429",2019-08-22,"XLI US Equity",0.25,3
"430",2019-08-29,"XLI US Equity",0.25,3
"431",2019-09-05,"XLI US Equity",0.25,3
"432",2019-09-12,"XLI US Equity",0.25,3
"433",2019-09-19,"XLI US Equity",0.25,3
"434",2019-09-26,"XLI US Equity",0.25,3
"435",2019-10-03,"XLI US Equity",0.25,3
"436",2019-10-10,"XLI US Equity",0.25,3
"437",2019-10-17,"XLI US Equity",0.25,3
"438",2019-10-24,"XLI US Equity",0.25,3
"439",2019-10-31,"XLI US Equity",0.25,3
"440",2019-11-07,"XLI US Equity",0.25,3
"441",2019-01-03,"EWM US Equity",0.333333333333333,4
"442",2019-01-10,"EWM US Equity",0.333333333333333,4
"443",2019-01-17,"EWM US Equity",0.333333333333333,4
"444",2019-01-24,"EWM US Equity",0.333333333333333,4
"445",2019-01-31,"EWM US Equity",0.333333333333333,4
"446",2019-02-07,"EWM US Equity",0.333333333333333,4
"447",2019-02-14,"EWM US Equity",0.333333333333333,4
"448",2019-02-21,"EWM US Equity",0.333333333333333,4
"449",2019-02-28,"EWM US Equity",0.333333333333333,4
"450",2019-03-07,"EWM US Equity",0.333333333333333,4
"451",2019-03-14,"EWM US Equity",0.166666666666667,4
"452",2019-03-21,"EWM US Equity",0.166666666666667,4
"453",2019-03-28,"EWM US Equity",0.166666666666667,4
"454",2019-04-04,"EWM US Equity",0.166666666666667,4
"455",2019-04-11,"EWM US Equity",0.166666666666667,4
"456",2019-04-18,"EWM US Equity",0,4
"457",2019-04-25,"EWM US Equity",0.333333333333333,4
"458",2019-05-02,"EWM US Equity",0.333333333333333,4
"459",2019-05-09,"EWM US Equity",0.333333333333333,4
"460",2019-05-16,"EWM US Equity",0.333333333333333,4
"461",2019-05-23,"EWM US Equity",0.333333333333333,4
"462",2019-05-30,"EWM US Equity",0.333333333333333,4
"463",2019-06-06,"EWM US Equity",0.333333333333333,4
"464",2019-06-13,"EWM US Equity",0.333333333333333,4
"465",2019-06-20,"EWM US Equity",0.333333333333333,4
"466",2019-06-27,"EWM US Equity",0.333333333333333,4
"467",2019-07-11,"EWM US Equity",0.333333333333333,4
"468",2019-07-18,"EWM US Equity",0.333333333333333,4
"469",2019-07-25,"EWM US Equity",0.333333333333333,4
"470",2019-08-01,"EWM US Equity",0.333333333333333,4
"471",2019-08-08,"EWM US Equity",0.333333333333333,4
"472",2019-08-15,"EWM US Equity",0.333333333333333,4
"473",2019-08-22,"EWM US Equity",0.333333333333333,4
"474",2019-08-29,"EWM US Equity",0.333333333333333,4
"475",2019-09-05,"EWM US Equity",0.333333333333333,4
"476",2019-09-12,"EWM US Equity",0.333333333333333,4
"477",2019-09-19,"EWM US Equity",0.333333333333333,4
"478",2019-09-26,"EWM US Equity",0.333333333333333,4
"479",2019-10-03,"EWM US Equity",0.333333333333333,4
"480",2019-10-10,"EWM US Equity",0.333333333333333,4
"481",2019-10-17,"EWM US Equity",0.333333333333333,4
"482",2019-10-24,"EWM US Equity",0.333333333333333,4
"483",2019-10-31,"EWM US Equity",0.333333333333333,4
"484",2019-11-07,"EWM US Equity",0.333333333333333,4
"485",2019-01-03,"INDA US Equity",0.333333333333333,4
"486",2019-01-10,"INDA US Equity",0.333333333333333,4
"487",2019-01-17,"INDA US Equity",0.333333333333333,4
"488",2019-01-24,"INDA US Equity",0.333333333333333,4
"489",2019-01-31,"INDA US Equity",0.333333333333333,4
"490",2019-02-07,"INDA US Equity",0.333333333333333,4
"491",2019-02-14,"INDA US Equity",0.333333333333333,4
"492",2019-02-21,"INDA US Equity",0.333333333333333,4
"493",2019-02-28,"INDA US Equity",0.333333333333333,4
"494",2019-03-07,"INDA US Equity",0.5,4
"495",2019-03-14,"INDA US Equity",0.666666666666667,4
"496",2019-03-21,"INDA US Equity",0.666666666666667,4
"497",2019-03-28,"INDA US Equity",0.666666666666667,4
"498",2019-04-04,"INDA US Equity",0.5,4
"499",2019-04-11,"INDA US Equity",0.5,4
"500",2019-04-18,"INDA US Equity",0.5,4
"501",2019-04-25,"INDA US Equity",0.333333333333333,4
"502",2019-05-02,"INDA US Equity",0.333333333333333,4
"503",2019-05-09,"INDA US Equity",0.333333333333333,4
"504",2019-05-16,"INDA US Equity",0.333333333333333,4
"505",2019-05-23,"INDA US Equity",0.333333333333333,4
"506",2019-05-30,"INDA US Equity",0.333333333333333,4
